,region,MedalsCount,ParticipantsCount,GamesCount,PartPerGamesScaled,SuccessRate
141,Cayman Islands,0,60,12,0.012538202335240188,0.0
142,South Sudan,0,3,1,0.004701825875715069,0.0
143,Comoros,0,19,6,0.005354857247342163,0.0
144,Swaziland,0,52,11,0.011469605545304944,0.0
145,Chad,0,37,12,0.0050283415615286165,0.0
146,Cape Verde,0,18,6,0.004701825875715069,0.0
147,Maldives,0,41,8,0.013027975863960508,0.0
148,Brunei,0,10,5,0.0007836376459525113,0.0
149,Timor-Leste,0,9,5,0.0,0.0
150,American Samoa,0,37,9,0.009055368353229024,0.0
151,Yemen,0,44,9,0.012102848087488793,0.0
152,"Virgin Islands, British",0,35,11,0.0054142237356718985,0.0
153,Andorra,0,98,22,0.0104010087553697,0.0
154,Angola,0,242,9,0.09830298914226508,0.0
155,Vanuatu,0,31,8,0.008130240576757309,0.0
156,Antigua,0,90,10,0.02821095525429042,0.0
157,Aruba,0,38,8,0.011558655277799548,0.0
158,Bangladesh,0,43,9,0.011667493839737395,0.0
159,Belize,0,62,12,0.01319123370686728,0.0
160,Benin,0,64,11,0.015743992705045916,0.0
161,Turkmenistan,0,53,6,0.027557923882663333,0.0
162,Bhutan,0,27,9,0.004701825875715069,0.0
163,Boliva,0,115,19,0.016662610998148142,0.0
164,Solomon Islands,0,26,9,0.004266471627963674,0.0
165,Bosnia and Herzegovina,0,95,13,0.021580175173153783,0.0
166,San Marino,0,142,23,0.01713781460496145,0.0
167,Democratic Republic of the Congo,0,78,10,0.02350912937857535,0.0
168,Lesotho,0,57,11,0.013250600195197016,0.0
169,Oman,0,52,9,0.015585682069499954,0.0
170,Honduras,0,143,12,0.039639004257764544,0.0
171,Kiribati,0,11,4,0.0037222788182744307,0.0
172,Nicaragua,0,106,12,0.027557923882663333,0.0
173,Nauru,0,13,6,0.0014366690175796034,0.0
174,Laos,0,53,9,0.016021036317251353,0.0
175,Myanmar,0,103,17,0.016686872225577014,0.0
176,Liberia,0,52,12,0.009926076848731813,0.0
177,Sierra Leone,0,75,11,0.019662180934808475,0.0
178,Albania,0,59,11,0.013962998055153844,0.0
179,Madagascar,0,97,13,0.022182973362348025,0.0
180,Micronesia,0,26,5,0.013321839981192699,0.0
181,Malawi,0,71,10,0.020766397617741558,0.0
182,Mauritania,0,28,9,0.005137180123466465,0.0
183,Marshall Islands,0,14,3,0.011232139591986004,0.0
184,Malta,0,104,17,0.01691735388615128,0.0
185,Guinea-Bissau,0,21,6,0.006660919990596348,0.0
186,Palau,0,24,5,0.011754564689287674,0.0
